,release,capture_dates_range,vda_id,ffe_elev_status,ffe_ft,ffe_lhsm_ft,ffe_foundation
0,2,2/3/2020-2/23/2020,FMB1744,elevated,14.82364217,10.92268371,Wall
1,2,2/3/2020-2/23/2020,FMB2182,not-elevated,0.0,,Slab-on-Grade
2,2,2/3/2020-2/23/2020,FMB2222,not-elevated,0.0,,Slab-on-Grade
3,2,2/3/2020-2/23/2020,FMB1747,not-elevated,0.0,,Slab-on-Grade
4,2,2/3/2020-2/23/2020,FMB2223,not-elevated,0.0,,Slab-on-Grade
5,2,2/3/2020-2/23/2020,FMB1749,not-elevated,0.0,,Slab-on-Grade
6,2,2/3/2020-2/23/2020,FMB2771,elevated,8.150062422,7.043982522,Piles/Columns
7,2,2/3/2020-2/23/2020,FMB2224,not-elevated,0.0,,Slab-on-Grade
8,2,2/3/2020-2/23/2020,FMB1753,elevated,7.179060773,5.397790055,Piles/Columns
9,2,2/3/2020-2/23/2020,FMB1754,elevated,7.938706294,6.409230769,Wall
10,2,2/3/2020-2/23/2020,FMB1755,elevated,7.703724928,6.740759312,Piles/Columns
11,2,2/3/2020-2/23/2020,FMB2844,,,,
12,2,2/3/2020-2/23/2020,FMB2184,not-elevated,0.0,,Slab-on-Grade
13,2,2/3/2020-2/23/2020,FMB2185,not-elevated,0.0,,Slab-on-Grade
14,2,2/3/2020-2/23/2020,FMB2225,elevated,7.150760234,5.729775828,Wall
15,2,2/3/2020-2/23/2020,FMB3355,elevated,8.253846154,6.067692308,Piles/Columns
16,2,2/3/2020-2/23/2020,FMB2226,elevated,9.30042735,7.307478632,Piles/Columns
17,2,2/3/2020-2/23/2020,FMB1759,elevated,6.729422067,5.652714536,Piles/Columns
18,2,2/3/2020-2/23/2020,FMB1760,elevated,7.36,6.133333333,Piles/Columns
19,2,2/3/2020-2/23/2020,FMB1761,elevated,8.614197002,8.273040685,Piles/Columns
20,2,2/3/2020-2/23/2020,FMB1762,not-elevated,0.0,,Slab-on-Grade
21,2,2/3/2020-2/23/2020,FMB2227,elevated,10.2,8.666666667,Wall
22,2,2/3/2020-2/23/2020,FMB1763,elevated,10.87150259,7.665803109,Wall
23,2,2/3/2020-2/23/2020,FMB1764,elevated,9.420272572,8.563884157,Piles/Columns
24,2,2/3/2020-2/23/2020,FMB1766,elevated,7.838950276,6.793756906,Piles/Columns
25,2,2/3/2020-2/23/2020,,,,,
26,2,2/3/2020-2/23/2020,FMB3218,not-elevated,8.891489362,18.32735562,Slab-on-Grade
27,2,2/3/2020-2/23/2020,FMB3020,elevated,3.808918367,2.026020408,Crawlspace
28,2,2/3/2020-2/23/2020,FMB2186,not-elevated,0.0,,Slab-on-Grade
29,2,2/3/2020-2/23/2020,FMB2187,,,,
30,2,2/3/2020-2/23/2020,FMB2188,elevated,9.854489016,7.382282713,Wall
31,2,2/3/2020-2/23/2020,FMB2228,elevated,8.680970874,5.736548004,Wall
32,2,2/3/2020-2/23/2020,FMB2189,elevated,9.150326797,7.930283224,Piles/Columns
33,2,2/3/2020-2/23/2020,FMB1777,elevated,5.507608696,5.201630435,Piles/Columns
34,2,2/3/2020-2/23/2020,FMB2229,elevated,7.595870647,6.19159204,Piles/Columns
35,2,2/3/2020-2/23/2020,FMB2772,elevated,7.780673712,6.684068692,Piles/Columns
36,2,2/3/2020-2/23/2020,FMB2773,elevated,7.707029289,6.629351464,Wall
37,2,2/3/2020-2/23/2020,FMB1778,elevated,8.635913186,6.357502048,Piles/Columns
38,2,2/3/2020-2/23/2020,FMB2183,not-elevated,3.298814655,,Crawlspace
39,2,2/3/2020-2/23/2020,FMB1781,elevated,9.283926941,7.083105023,Piles/Columns
40,2,2/3/2020-2/23/2020,FMB1782,elevated,8.442150538,17.07274194,Wall
41,2,2/3/2020-2/23/2020,FMB1784,elevated,0.516853933,,Slab-on-Grade
42,2,2/3/2020-2/23/2020,FMB2190,elevated,3.095022624,,Slab-on-Grade
43,2,2/3/2020-2/23/2020,FMB2191,elevated,9.137142857,8.097142857,Piles/Columns
44,2,2/3/2020-2/23/2020,FMB2230,elevated,7.659885387,6.711518625,Wall
45,2,2/3/2020-2/23/2020,FMB2231,not-elevated,0.0,,Slab-on-Grade
46,2,2/3/2020-2/23/2020,FMB2232,not-elevated,0.0,6.61011976,Slab-on-Grade
47,2,2/3/2020-2/23/2020,FMB1788,elevated,8.598012471,,Piles/Columns
48,2,2/3/2020-2/23/2020,FMB1789,not-elevated,0.0,,Slab-on-Grade
49,2,2/3/2020-2/23/2020,FMB2774,elevated,8.328210784,,Piles/Columns
50,2,2/3/2020-2/23/2020,FMB1790,elevated,14.45197368,11.82434211,Wall
51,2,2/3/2020-2/23/2020,FMB2775,elevated,7.085783133,6.037590361,Wall
52,2,2/3/2020-2/23/2020,FMB1791,elevated,7.747794562,6.328867069,Piles/Columns
53,2,2/3/2020-2/23/2020,FMB2776,elevated,13.8405303,7.4875,Wall
54,2,2/3/2020-2/23/2020,FMB1792,not-elevated,0.0,,Slab-on-Grade
55,2,2/3/2020-2/23/2020,FMB1793,elevated,12.17417989,10.83798942,Piles/Columns
56,2,2/3/2020-2/23/2020,FMB2192,elevated,8.194552529,6.793774319,Piles/Columns
57,2,2/3/2020-2/23/2020,FMB2233,,,,
58,2,2/3/2020-2/23/2020,FMB2234,,,,
59,2,2/3/2020-2/23/2020,FMB3115,elevated,11.43137255,8.62745098,Piles/Columns
60,2,2/3/2020-2/23/2020,FMB1799,elevated,3.539632546,1.844899388,Crawlspace
